City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Castro,BR,76.77,few clouds,-24.7911,-50.0119,CHACARA BAILLY
4,Atuona,PF,79.48,few clouds,-9.8,-139.0333,Villa Enata
12,Padang,ID,75.25,few clouds,-0.9492,100.3543,Mercure Padang
15,Rikitea,PF,77.41,few clouds,-23.1203,-134.9692,People ThankYou
18,Mongu,ZM,74.37,overcast clouds,-15.2484,23.1274,Country Lodge Mongu
20,Vao,NC,78.35,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
26,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
29,Kapaa,US,72.48,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Igbaras,PH,78.31,overcast clouds,10.7157,122.2657,Mickey's Place
34,Port Elizabeth,ZA,70.11,few clouds,-33.918,25.5701,39 On Nile Guest House
37,Rantauprapat,ID,73.96,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
41,Puerto Princesa,PH,79.7,overcast clouds,9.7392,118.7353,Deep Forest Garden Inn
44,Pisco,PE,71.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
45,Bulawayo,ZW,72.75,overcast clouds,-20.15,28.5833,4 On Housman Backpackers
47,Chuy,UY,71.4,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
50,Dicabisagan,PH,76.15,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
60,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
63,Ambilobe,MG,76.35,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
74,Dharan,NP,78.42,clear sky,26.8125,87.2835,Hotel Kanchanjunga
77,Pokhara,NP,74.59,scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
79,Cabo San Lucas,MX,71.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
83,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
86,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
87,Cidreira,BR,71.89,overcast clouds,-30.1811,-50.2056,Hotel Castelo
95,East London,ZA,74.34,clear sky,-33.0153,27.9116,Tu Casa
112,Saint-Pierre,RE,78.48,light rain,-21.3393,55.4781,Lindsey Hôtel
