City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,42.82,81,40,23.02,scattered clouds
1,Castro,BR,-24.7911,-50.0119,76.77,70,12,8.39,few clouds
2,Torbay,CA,47.6666,-52.7314,48.88,63,75,11.5,broken clouds
3,Lebu,CL,-37.6167,-73.65,58.1,68,7,17.07,clear sky
4,Atuona,PF,-9.8,-139.0333,79.48,74,14,24.4,few clouds
5,Bluff,NZ,-46.6,168.3333,54.46,83,100,7.47,overcast clouds
6,Hutchinson,US,38.0608,-97.9298,51.73,58,100,1.99,overcast clouds
7,Nome,US,64.5011,-165.4064,12.27,52,0,12.66,clear sky
8,Tasiilaq,GL,65.6145,-37.6368,15.85,86,86,8.25,overcast clouds
9,Nanortalik,GL,60.1432,-45.2371,37.42,76,100,4.0,overcast clouds
10,Port-Gentil,GA,-0.7193,8.7815,80.71,76,100,3.96,overcast clouds
11,Mortka,RU,59.3322,66.0214,39.85,100,100,4.99,light rain
12,Padang,ID,-0.9492,100.3543,75.25,83,16,4.0,few clouds
13,San Jose,US,37.3394,-121.895,57.56,75,0,5.99,haze
14,Lata,PT,40.1629,-8.3327,58.82,26,90,11.07,overcast clouds
15,Rikitea,PF,-23.1203,-134.9692,77.41,63,15,11.72,few clouds
16,Qaanaaq,GL,77.484,-69.3632,19.83,74,97,8.32,overcast clouds
17,Przhevalskoye,RU,55.5093,31.8482,34.2,68,88,9.31,overcast clouds
18,Mongu,ZM,-15.2484,23.1274,74.37,79,100,1.41,overcast clouds
19,Saint George,US,37.1041,-113.5841,61.43,38,2,1.01,clear sky
20,Vao,NC,-22.6667,167.4833,78.35,85,100,15.14,overcast clouds
21,Gimli,CA,50.6336,-96.9907,30.22,80,25,8.05,scattered clouds
22,Mount Holly,US,35.2982,-81.0159,62.2,38,80,3.0,broken clouds
23,Dandong,CN,40.1292,124.3947,42.84,84,7,7.14,clear sky
24,Victoria,HK,22.2855,114.1577,68.18,75,4,13.0,clear sky
25,Ushuaia,AR,-54.8,-68.3,42.42,75,40,17.27,scattered clouds
26,Carnarvon,AU,-24.8667,113.6333,75.27,83,0,16.11,clear sky
27,Severo-Kurilsk,RU,50.6789,156.125,32.14,76,8,5.35,clear sky
28,Port Alfred,ZA,-33.5906,26.891,67.17,82,0,5.01,clear sky
29,Kapaa,US,22.0752,-159.319,72.48,77,100,4.0,overcast clouds
30,Hobart,AU,-42.8794,147.3294,58.26,83,75,5.75,moderate rain
31,Igbaras,PH,10.7157,122.2657,78.31,80,100,8.57,overcast clouds
32,Lompoc,US,34.6391,-120.4579,63.84,89,40,21.0,scattered clouds
33,Avera,US,33.194,-82.5271,67.55,44,76,6.26,broken clouds
34,Port Elizabeth,ZA,-33.918,25.5701,70.11,81,20,19.57,few clouds
35,Saskylakh,RU,71.9167,114.0833,-12.08,100,99,4.68,overcast clouds
36,Cherskiy,RU,68.75,161.3,-22.92,99,64,2.46,broken clouds
37,Rantauprapat,ID,2.1,99.8333,73.96,97,86,2.42,overcast clouds
38,Dunedin,NZ,-45.8742,170.5036,58.8,84,100,8.99,overcast clouds
39,Humaita,BR,-7.5061,-63.0208,86.11,70,72,1.61,broken clouds
40,Constitucion,CL,-35.3333,-72.4167,63.19,47,5,10.87,clear sky
41,Puerto Princesa,PH,9.7392,118.7353,79.7,80,90,4.85,overcast clouds
42,Kavieng,PG,-2.5744,150.7967,80.04,84,100,16.71,light rain
43,Busselton,AU,-33.65,115.3333,55.54,74,0,11.21,clear sky
44,Pisco,PE,-13.7,-76.2167,71.02,73,0,5.75,clear sky
45,Bulawayo,ZW,-20.15,28.5833,72.75,53,87,3.49,overcast clouds
46,Ribeira Grande,PT,38.5167,-28.7,64.8,68,40,8.05,scattered clouds
47,Chuy,UY,-33.6971,-53.4616,71.4,55,85,7.34,overcast clouds
48,Berlevag,NO,70.8578,29.0864,21.2,71,100,10.74,light snow
49,Yellowknife,CA,62.456,-114.3525,32.41,67,75,13.8,broken clouds
50,Dicabisagan,PH,17.0818,122.4157,76.15,88,90,11.16,overcast clouds
51,Chokurdakh,RU,70.6333,147.9167,-17.95,100,43,7.94,scattered clouds
52,Hithadhoo,MV,-0.6,73.0833,83.93,66,67,3.65,broken clouds
53,Cape Town,ZA,-33.9258,18.4232,68.11,77,40,17.27,scattered clouds
54,Southbridge,US,42.0751,-72.0334,50.95,52,25,4.0,scattered clouds
55,Puerto Ayora,EC,-0.7393,-90.3518,84.16,90,89,4.0,overcast clouds
56,Mar Del Plata,AR,-38.0023,-57.5575,68.88,33,0,10.0,clear sky
57,Beloha,MG,-25.1667,45.05,75.22,83,3,14.7,clear sky
58,Cururupu,BR,-1.8283,-44.8683,86.97,59,100,5.82,overcast clouds
59,Novobiryusinskiy,RU,56.9578,97.7076,23.14,73,76,6.42,broken clouds
60,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,100,15.14,light rain
61,Talcahuano,CL,-36.7167,-73.1167,60.48,51,0,12.66,clear sky
62,Grindavik,IS,63.8424,-22.4338,37.35,93,100,14.97,overcast clouds
63,Ambilobe,MG,-13.2,49.05,76.35,91,97,0.56,overcast clouds
64,Ancud,CL,-41.8697,-73.8203,54.23,85,100,7.18,overcast clouds
65,Port Hedland,AU,-20.3167,118.5667,82.45,78,0,11.5,clear sky
66,Fortuna,US,40.5982,-124.1573,50.67,95,100,16.11,overcast clouds
67,Hermanus,ZA,-34.4187,19.2345,67.8,75,4,15.41,clear sky
68,Anadyr,RU,64.75,177.4833,-14.3,76,0,6.71,clear sky
69,Henties Bay,NA,-22.116,14.2845,64.45,70,0,11.27,clear sky
70,Barrow,US,71.2906,-156.7887,-2.18,71,100,13.8,light snow
71,Upernavik,GL,72.7868,-56.1549,25.92,76,99,2.01,overcast clouds
72,Agirish,RU,61.9247,63.0231,29.17,96,98,5.57,overcast clouds
73,Albany,US,42.6001,-73.9662,48.58,54,72,1.01,broken clouds
74,Dharan,NP,26.8125,87.2835,78.42,51,2,4.72,clear sky
75,Dzaoudzi,YT,-12.7887,45.2699,84.09,74,0,5.75,clear sky
76,Mataura,NZ,-46.1927,168.8643,52.43,89,100,3.2,overcast clouds
77,Pokhara,NP,28.2333,83.9833,74.59,43,49,5.79,scattered clouds
78,Chulman,RU,56.8479,124.9104,-0.04,100,98,3.02,overcast clouds
79,Cabo San Lucas,MX,22.8909,-109.9124,71.51,56,28,3.0,scattered clouds
80,Vestmanna,FO,62.1564,-7.1664,34.72,69,100,6.91,overcast clouds
81,Norman Wells,CA,65.282,-126.8329,-9.36,70,75,9.22,light snow
82,Klaksvik,FO,62.2266,-6.589,36.52,63,100,19.19,overcast clouds
83,Bairiki,KI,1.3292,172.9752,78.8,89,75,5.75,light rain
84,San Onofre,CO,9.7359,-75.5263,85.03,68,100,5.86,overcast clouds
85,Hobyo,SO,5.3505,48.5268,82.47,68,96,9.4,overcast clouds
86,Vaini,TO,-21.2,-175.2,71.76,94,75,6.91,broken clouds
87,Cidreira,BR,-30.1811,-50.2056,71.89,83,100,8.61,overcast clouds
88,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,70,20,12.66,few clouds
89,Guymon,US,36.6828,-101.4816,54.79,23,100,11.14,overcast clouds
90,Shimoda,JP,34.6667,138.95,49.1,83,68,9.33,broken clouds
91,Plettenberg Bay,ZA,-34.0527,23.3716,64.45,81,19,7.72,few clouds
92,Samarai,PG,-10.6167,150.6667,81.66,79,100,10.4,overcast clouds
93,Mount Gambier,AU,-37.8333,140.7667,48.11,93,100,4.61,fog
94,Geraldton,AU,-28.7667,114.6,66.61,88,5,10.36,clear sky
95,East London,ZA,-33.0153,27.9116,74.34,78,0,8.05,clear sky
96,Yabrud,SY,33.9674,36.6574,59.43,28,16,7.16,few clouds
97,Nikolskoye,RU,59.7035,30.7861,40.89,71,100,10.04,overcast clouds
98,Maxixe,MZ,-23.8597,35.3472,82.22,61,20,11.99,few clouds
99,Butaritari,KI,3.0707,172.7902,81.25,80,99,16.06,overcast clouds
100,Thompson,CA,55.7435,-97.8558,30.36,64,20,4.61,few clouds
101,Vila Velha,BR,-20.3297,-40.2925,85.95,73,40,9.22,scattered clouds
102,Narsaq,GL,60.9167,-46.05,41.72,64,99,1.81,overcast clouds
103,Seoul,KR,37.5683,126.9778,44.04,65,0,2.3,clear sky
104,Zinder,NE,13.8072,8.9881,105.76,6,0,0.0,clear sky
105,Bredasdorp,ZA,-34.5322,20.0403,67.98,63,2,16.62,clear sky
106,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,74,40,19.57,scattered clouds
107,Gharghoda,IN,22.1667,83.35,84.47,15,10,1.63,clear sky
108,Agadez,NE,19.75,10.25,101.84,3,9,9.75,clear sky
109,Zyryanka,RU,65.75,150.85,-3.55,99,100,7.63,overcast clouds
110,Saldanha,ZA,-33.0117,17.9442,69.85,78,23,11.41,light rain
